timestamp,energy,energy_change,zero_crossing,is_silent,silence_duration,energy_std,energy_mean,is_chapter_boundary,relative_position,episode_id
0.0,9.849670732364757e-07,0.0,0.12451171875,1.0,5.0,0.0,0.0,0,0.0,1492
15.0,0.04966031387448311,-0.005172252655029297,0.06201171875,0.0,0.0,0.03909061834467155,0.049156155685636804,0,0.0016919710334559073,1492
30.0,0.042848870158195496,0.006006099283695221,0.3681640625,0.0,0.0,0.022557548986534285,0.050194780652721725,0,0.0033839420669118147,1492
45.0,0.0011127936886623502,-0.040790583938360214,0.14990234375,1.0,5.0,0.031369982118127394,0.04033088980941102,0,0.0050759131003677216,1492
60.0,0.06999191641807556,0.02964666113257408,0.05419921875,0.0,0.0,0.024614789137456673,0.03845951568412905,0,0.006767884133823629,1492
75.0,0.07447298616170883,0.018505588173866272,0.130859375,0.0,0.0,0.042828070732241826,0.06258704608383898,0,0.008459855167279536,1492
90.0,0.11233587563037872,-0.019126668572425842,0.052734375,0.0,0.0,0.047646950991881265,0.07511559534274663,0,0.010151826200735443,1492
105.0,0.0991273745894432,0.05717221647500992,0.189453125,0.0,0.0,0.04981674070179417,0.09014157423128684,0,0.011843797234191352,1492
120.0,0.10145460069179535,-0.0659453421831131,0.1884765625,0.0,0.0,0.06425838095037723,0.09049218587945991,0,0.013535768267647259,1492
135.0,0.0009416377870365977,0.00045432665501721203,0.21875,1.0,10.0,0.06443162388872353,0.07767427250413068,0,0.015227739301103166,1492
150.0,0.1966264545917511,0.056002259254455566,0.08642578125,0.0,0.0,0.07404326341145458,0.10393815423594788,0,0.016919710334559072,1492
165.0,0.0034438015427440405,-0.15574263036251068,0.0888671875,1.0,5.0,0.08250942999518565,0.1266463277473425,0,0.01861168136801498,1492
180.0,0.0724618211388588,-0.07508138567209244,0.01904296875,0.0,0.0,0.07728254243553688,0.11029055369241784,0,0.020303652401470886,1492
195.0,0.1469610333442688,-0.02640393376350403,0.14892578125,0.0,0.0,0.055634016456554,0.13537492354710898,0,0.021995623434926795,1492
210.0,0.09797530621290207,-0.07232769578695297,0.080078125,0.0,0.0,0.05526460222382697,0.12187898407379787,1,0.023687594468382703,1492
225.0,0.043091628700494766,-0.030697669833898544,0.103515625,0.0,0.0,0.025476561996121937,0.056234111388524376,0,0.02537956550183861,1492
240.0,0.15933673083782196,0.11699062585830688,0.09228515625,0.0,0.0,0.08838342546530448,0.101666705061992,0,0.027071536535294517,1492
255.0,0.014749261550605297,-0.2385863959789276,0.0458984375,0.0,0.0,0.0879555895557225,0.1202812329865992,0,0.028763507568750426,1492
270.0,0.1444822996854782,-0.017766982316970825,0.09423828125,0.0,0.0,0.06182820209674961,0.07523465948179364,0,0.03045547860220633,1492
285.0,0.11717148870229721,0.07571850717067719,0.0693359375,0.0,0.0,0.049672947679760514,0.06943917274475098,0,0.03214744963566224,1492
300.0,0.0019069135887548327,-0.05236881598830223,0.05712890625,1.0,5.0,0.05366963361194313,0.06477646419079974,0,0.033839420669118145,1492
315.0,0.07995478808879852,0.021622702479362488,0.06005859375,0.0,0.0,0.05513151642071067,0.0905202075955458,0,0.03553139170257405,1492
330.0,0.1312708556652069,0.013493254780769348,0.21044921875,0.0,0.0,0.0631839429980152,0.08074232978591074,0,0.03722336273602996,1492
345.0,0.1048014834523201,0.10188053548336029,0.13427734375,0.0,0.0,0.061919245196075036,0.0821996310648198,0,0.03891533376948587,1492
360.0,0.04474293068051338,-0.062251899391412735,0.044921875,0.0,0.0,0.038001465978723226,0.09644187241792679,0,0.04060730480294177,1492
375.0,0.048009663820266724,-0.07599359005689621,0.423828125,0.0,0.0,0.03644035931083497,0.0550265417744716,0,0.042299275836397685,1492
390.0,0.01894000731408596,0.0028736982494592667,0.06298828125,0.0,0.0,0.03005758518614449,0.04561960852394501,0,0.04399124686985359,1492
405.0,0.09076548367738724,-0.008474230766296387,0.04541015625,0.0,0.0,0.030183216214331142,0.059740626253187656,0,0.045683217903309495,1492
420.0,0.04723374918103218,0.0038744769990444183,0.0625,0.0,0.0,0.025014564089575832,0.048602481838315725,0,0.04737518893676541,1492
435.0,0.0070056249387562275,-0.006635632831603289,0.0361328125,1.0,5.0,0.020348818185927292,0.03474553821918865,0,0.04906715997022131,1492
450.0,0.0011391190346330404,-0.058817822486162186,0.025390625,1.0,5.0,0.025404445298210176,0.03431281140850236,0,0.05075913100367722,1492
465.0,0.15347245335578918,0.09299702942371368,0.06201171875,0.0,0.0,0.06612153798842436,0.0794983822464322,0,0.05245110203713313,1492
480.0,0.19037382304668427,0.023399576544761658,0.1083984375,0.0,0.0,0.07620226653081726,0.10397503709342952,0,0.054143073070589035,1492
495.0,0.0367974117398262,-0.017713848501443863,0.03125,0.0,0.0,0.06956308213633741,0.07624803295281406,0,0.05583504410404494,1492
510.0,0.0017100947443395853,-0.12617634236812592,0.09716796875,1.0,5.0,0.04527085425622632,0.06510480869716655,0,0.05752701513750085,1492
525.0,0.10526898503303528,0.01716715842485428,0.318359375,0.0,0.0,0.04316753141733174,0.07659357169177383,0,0.05921898617095676,1492
540.0,0.13050983846187592,0.008860349655151367,0.07470703125,0.0,0.0,0.04220850527544153,0.08825597632676363,0,0.06091095720441266,1492
555.0,0.007146598771214485,-0.014753367751836777,0.2177734375,1.0,5.0,0.0832787763829114,0.08822759551306565,0,0.06260292823786857,1492
570.0,0.004284337628632784,-0.22481465339660645,0.0166015625,1.0,5.0,0.08959134175497102,0.09121680857303242,0,0.06429489927132448,1492
